ID,outsider,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,b6,b7,b8,b9,recommend,future_recommend,lookfor,future_lookfor,trust,firstknow,knowyear,experience,times
123,1,9,9,8,9,9,10,9,10,9,9,9,9,9,9,9,8,9,9,1,10,10,10,9,2014,5,8.5,2
124,1,8,10,4,10,10,7,10,7,10,10,10,8,10,10,10,10,8,10,1,9,7,8,10,2015,4,10,1
125,1,7,8,7,6,6,6,7,6,7,8,8,8,8,7,7,7,7,7,1,6,5,8,8,2016,3,3.5,2
126,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,1,10,10,10,10,2017,2,2,1
127,1,8,8,6,6,6,8,7,9,9,8,8,6,7,7,8,8,9,8,1,8,9,9,9,2014,5,3.5,1
128,1,10,8,3,4,3,7,6,6,8,7,10,5,5,5,7,10,6,8,1,8,7,7,10,2016,3,8.5,1
129,1,9,8,8,8,9,9,10,8,9,8,7,7,9,8,9,9,8,7,1,10,8,8,10,2018,1,2,1
130,1,9,9,4,3,10,3,5,5,5,7,7,8,8,7,8,8,7,7,1,7,6,7,8,2016,3,6,1
131,1,9,9,6,8,9,7,8,7,6,9,9,7,9,9,9,8,7,6,1,8,7,8,8,2014,5,10,1
132,1,10,10,8,6,8,10,8,10,6,10,10,9,9,8,10,10,9,8,1,8,8,8,9,2017,2,3.5,2
133,1,4,7,7,7,1,1,5,5,4,5,6,7,7,5,1,5,5,4,1,5,4,4,4,2014,5,10,1
134,1,10,10,8,7,10,10,10,8,8,9,10,8,8,10,9,10,7,9,1,8,8,9,9,,,,
135,1,9,8,6,7,7,6,9,8,7,8,6,5,5,8,6,10,7,7,1,6,7,5,7,2015,4,3.5,2
136,1,10,10,10,8,8,8,8,8,8,10,8,8,10,8,10,10,8,8,1,10,8,8,8,2015,4,10,2
137,1,10,10,10,2,5,10,3,2,2,10,10,10,2,5,10,3,2,2,1,10,5,7,9,2014,5,10,3
138,1,7,9,10,4,8,8,7,7,7,6,10,8,6,9,8,7,7,7,0,5,9,10,10,2014,5,10,2
139,1,10,10,2,10,8,8,8,5,5,8,8,2,8,8,10,10,5,10,1,10,8,10,10,2015,4,3.5,1
140,1,7,7,7,8,9,9,9,8,8,7,7,8,9,7,7,7,9,9,1,7,7,7,7,2014,5,8.5,1
141,1,8,8,3,2,8,8,8,8,2,8,8,5,3,8,8,8,8,2,1,7,7,7,7,2016,3,,
142,1,10,10,5,7,8,8,10,10,8,10,10,5,7,8,8,10,10,8,1,9,9,9,8,2015,4,8.5,3
143,1,10,9,10,9,8,9,7,8,9,9,10,8,10,9,7,10,8,9,1,10,10,10,10,2018,1,3.5,1
144,1,8,7,6,6,8,10,10,8,6,8,8,6,6,6,10,10,6,6,1,10,8,10,8,2017,2,3.5,2
145,1,7,7,6,6,7,3,3,3,3,7,7,5,5,5,3,3,2,2,0,5,7,6,6,2015,4,6,2
146,1,10,10,10,10,10,9,10,10,10,10,10,10,10,10,9,10,10,10,1,10,9,10,10,2016,3,8.5,2
147,1,9,9,10,10,9,7,10,8,10,10,9,10,10,8,7,9,8,10,1,10,8,9,10,2014,5,10,2
148,1,8,10,7,10,10,10,8,7,7,7,10,7,10,10,10,8,7,7,1,9,9,9,10,2016,3,3.5,2
149,1,7,9,6,9,4,5,7,9,5,5,9,9,9,9,5,5,9,5,1,10,8,9,8,2016,3,10,1
